start=1365169ms stop=1367020ms speaker_SPEAKER_12
start=1367020ms stop=1367037ms speaker_SPEAKER_04
start=1367258ms stop=1370942ms speaker_SPEAKER_04
start=1371146ms stop=1375645ms speaker_SPEAKER_04
start=1375441ms stop=1381994ms speaker_SPEAKER_05
start=1382402ms stop=1384779ms speaker_SPEAKER_03
start=1384796ms stop=1386239ms speaker_SPEAKER_03
start=1387292ms stop=1388429ms speaker_SPEAKER_14
start=1389227ms stop=1390365ms speaker_SPEAKER_14
start=1390619ms stop=1391689ms speaker_SPEAKER_14
start=1392079ms stop=1396154ms speaker_SPEAKER_14
start=1396239ms stop=1399397ms speaker_SPEAKER_05
start=1399601ms stop=1401994ms speaker_SPEAKER_14
start=1404541ms stop=1405526ms speaker_SPEAKER_05
start=1405899ms stop=1418327ms speaker_SPEAKER_10
start=1423047ms stop=1423981ms speaker_SPEAKER_10
start=1424252ms stop=1426205ms speaker_SPEAKER_03
start=1425950ms stop=1427241ms speaker_SPEAKER_10
start=1428073ms stop=1434066ms speaker_SPEAKER_10
start=1434151ms stop=1439108ms speaker_SPEAKER_04
start=1439482ms stop=1441162ms speaker_SPEAKER_04
start=1441349ms stop=1445831ms speaker_SPEAKER_04
start=1446324ms stop=1449176ms speaker_SPEAKER_04
start=1449567ms stop=1450976ms speaker_SPEAKER_04
start=1451417ms stop=1452470ms speaker_SPEAKER_04
start=1453319ms stop=1455322ms speaker_SPEAKER_14
start=1455611ms stop=1456171ms speaker_SPEAKER_10
start=1456341ms stop=1458191ms speaker_SPEAKER_10
start=1458276ms stop=1472724ms speaker_SPEAKER_10
start=1473522ms stop=1474456ms speaker_SPEAKER_10
start=1474677ms stop=1477750ms speaker_SPEAKER_10
start=1476001ms stop=1476256ms speaker_SPEAKER_04
start=1478056ms stop=1482368ms speaker_SPEAKER_04
start=1482860ms stop=1484609ms speaker_SPEAKER_04
start=1485254ms stop=1490178ms speaker_SPEAKER_04
start=1490449ms stop=1496256ms speaker_SPEAKER_04
start=1496443ms stop=1497597ms speaker_SPEAKER_10
start=1498056ms stop=1498735ms speaker_SPEAKER_04
start=1499159ms stop=1503132ms speaker_SPEAKER_04
start=1503285ms stop=1505067ms speaker_SPEAKER_05
start=1505033ms stop=1510789ms speaker_SPEAKER_04
