start=1759006ms stop=1780959ms speaker_SPEAKER_01
start=1763913ms stop=1764100ms speaker_SPEAKER_06
start=1781095ms stop=1786324ms speaker_SPEAKER_01
start=1786392ms stop=1800331ms speaker_SPEAKER_01
start=1786528ms stop=1787342ms speaker_SPEAKER_00
start=1800331ms stop=1805441ms speaker_SPEAKER_00
start=1805560ms stop=1805916ms speaker_SPEAKER_06
start=1805916ms stop=1824219ms speaker_SPEAKER_00
start=1824541ms stop=1853234ms speaker_SPEAKER_00
start=1853471ms stop=1853947ms speaker_SPEAKER_06
start=1854168ms stop=1862198ms speaker_SPEAKER_00
start=1862198ms stop=1862775ms speaker_SPEAKER_01
start=1862775ms stop=1862792ms speaker_SPEAKER_00
start=1862792ms stop=1862809ms speaker_SPEAKER_01
start=1862809ms stop=1862826ms speaker_SPEAKER_00
start=1863081ms stop=1863828ms speaker_SPEAKER_00
start=1864015ms stop=1926952ms speaker_SPEAKER_00
start=1870178ms stop=1870823ms speaker_SPEAKER_01
start=1912419ms stop=1912894ms speaker_SPEAKER_06
start=1926188ms stop=1931926ms speaker_SPEAKER_01
start=1933013ms stop=1934983ms speaker_SPEAKER_01
start=1935424ms stop=1944083ms speaker_SPEAKER_01
start=1944422ms stop=1950636ms speaker_SPEAKER_01
start=1948921ms stop=1950008ms speaker_SPEAKER_00
start=1950806ms stop=2060670ms speaker_SPEAKER_01
start=2004269ms stop=2004949ms speaker_SPEAKER_00
start=2052606ms stop=2053183ms speaker_SPEAKER_00
start=2060093ms stop=2065696ms speaker_SPEAKER_00
start=2066069ms stop=2145492ms speaker_SPEAKER_01
start=2070619ms stop=2070925ms speaker_SPEAKER_00
start=2145509ms stop=2206697ms speaker_SPEAKER_01
start=2206748ms stop=2280127ms speaker_SPEAKER_01
start=2211740ms stop=2211774ms speaker_SPEAKER_00
start=2211774ms stop=2211994ms speaker_SPEAKER_06
start=2211994ms stop=2212724ms speaker_SPEAKER_00
start=2219787ms stop=2220993ms speaker_SPEAKER_02
start=2220993ms stop=2221027ms speaker_SPEAKER_06
start=2280178ms stop=2281672ms speaker_SPEAKER_01
start=2281910ms stop=2318446ms speaker_SPEAKER_01
start=2319023ms stop=2321519ms speaker_SPEAKER_01
start=2321825ms stop=2322300ms speaker_SPEAKER_01
start=2322504ms stop=2324422ms speaker_SPEAKER_01
start=2324609ms stop=2373828ms speaker_SPEAKER_01
start=2365033ms stop=2366086ms speaker_SPEAKER_00
start=2373828ms stop=2388497ms speaker_SPEAKER_00
start=2388497ms stop=2388548ms speaker_SPEAKER_01
start=2388548ms stop=2388616ms speaker_SPEAKER_00
start=2388616ms stop=2388667ms speaker_SPEAKER_01
start=2388667ms stop=2388735ms speaker_SPEAKER_00
start=2388735ms stop=2389346ms speaker_SPEAKER_01
start=2388752ms stop=2390959ms speaker_SPEAKER_00
start=2389533ms stop=2391604ms speaker_SPEAKER_01
start=2391926ms stop=2407784ms speaker_SPEAKER_00
start=2408022ms stop=2409108ms speaker_SPEAKER_00
start=2409363ms stop=2409804ms speaker_SPEAKER_06
start=2409770ms stop=2415865ms speaker_SPEAKER_00
start=2415950ms stop=2423268ms speaker_SPEAKER_00
start=2423387ms stop=2436290ms speaker_SPEAKER_00
start=2436460ms stop=2460297ms speaker_SPEAKER_00
start=2445203ms stop=2445543ms speaker_SPEAKER_06
start=2445543ms stop=2445611ms speaker_SPEAKER_01
start=2460585ms stop=2462996ms speaker_SPEAKER_00
start=2461536ms stop=2462164ms speaker_SPEAKER_01
start=2462996ms stop=2463777ms speaker_SPEAKER_01
start=2463777ms stop=2466375ms speaker_SPEAKER_00
start=2463794ms stop=2464405ms speaker_SPEAKER_01
start=2465984ms stop=2468310ms speaker_SPEAKER_01
start=2466748ms stop=2467122ms speaker_SPEAKER_00
start=2468684ms stop=2469108ms speaker_SPEAKER_01
