start=2357631ms stop=2366239ms speaker_SPEAKER_02
start=2362402ms stop=2362979ms speaker_SPEAKER_05
start=2366477ms stop=2368752ms speaker_SPEAKER_05
start=2369074ms stop=2370687ms speaker_SPEAKER_02
start=2370687ms stop=2375492ms speaker_SPEAKER_05
start=2371146ms stop=2371706ms speaker_SPEAKER_02
start=2373709ms stop=2374541ms speaker_SPEAKER_02
start=2374813ms stop=2374864ms speaker_SPEAKER_02
start=2375797ms stop=2377512ms speaker_SPEAKER_02
start=2377835ms stop=2381366ms speaker_SPEAKER_02
start=2379838ms stop=2382521ms speaker_SPEAKER_05
start=2382657ms stop=2387937ms speaker_SPEAKER_02
start=2388022ms stop=2388565ms speaker_SPEAKER_07
start=2388463ms stop=2389261ms speaker_SPEAKER_02
start=2389312ms stop=2410755ms speaker_SPEAKER_02
start=2410246ms stop=2411960ms speaker_SPEAKER_05
start=2412266ms stop=2443590ms speaker_SPEAKER_02
start=2432640ms stop=2433013ms speaker_SPEAKER_07
start=2433013ms stop=2433081ms speaker_SPEAKER_05
start=2439584ms stop=2440110ms speaker_SPEAKER_05
start=2442521ms stop=2445186ms speaker_SPEAKER_05
start=2445492ms stop=2461451ms speaker_SPEAKER_02
start=2460178ms stop=2462198ms speaker_SPEAKER_05
start=2462198ms stop=2462215ms speaker_SPEAKER_02
start=2462487ms stop=2474117ms speaker_SPEAKER_02
start=2471179ms stop=2472334ms speaker_SPEAKER_05
start=2474134ms stop=2474185ms speaker_SPEAKER_02
start=2474185ms stop=2474966ms speaker_SPEAKER_05
start=2475797ms stop=2479261ms speaker_SPEAKER_02
start=2478089ms stop=2479346ms speaker_SPEAKER_05
start=2479651ms stop=2481825ms speaker_SPEAKER_05
start=2482062ms stop=2493947ms speaker_SPEAKER_05
start=2494269ms stop=2497088ms speaker_SPEAKER_05
start=2494898ms stop=2495882ms speaker_SPEAKER_02
start=2495882ms stop=2496001ms speaker_SPEAKER_04
start=2496460ms stop=2496816ms speaker_SPEAKER_02
start=2498904ms stop=2506375ms speaker_SPEAKER_05
start=2506697ms stop=2506714ms speaker_SPEAKER_02
start=2506714ms stop=2506731ms speaker_SPEAKER_05
start=2506731ms stop=2507003ms speaker_SPEAKER_02
start=2507003ms stop=2507173ms speaker_SPEAKER_05
start=2507563ms stop=2510195ms speaker_SPEAKER_02
start=2510466ms stop=2511451ms speaker_SPEAKER_05
start=2510942ms stop=2511926ms speaker_SPEAKER_02
start=2511774ms stop=2511859ms speaker_SPEAKER_05
start=2511926ms stop=2512045ms speaker_SPEAKER_05
start=2512419ms stop=2513030ms speaker_SPEAKER_05
start=2513251ms stop=2513743ms speaker_SPEAKER_05
start=2513743ms stop=2517631ms speaker_SPEAKER_02
start=2517750ms stop=2540500ms speaker_SPEAKER_02
start=2529159ms stop=2529227ms speaker_SPEAKER_05
start=2540721ms stop=2542419ms speaker_SPEAKER_02
start=2542453ms stop=2543370ms speaker_SPEAKER_05
start=2543098ms stop=2545509ms speaker_SPEAKER_02
start=2545509ms stop=2545916ms speaker_SPEAKER_05
start=2546239ms stop=2550976ms speaker_SPEAKER_02
start=2549448ms stop=2556867ms speaker_SPEAKER_05
start=2553845ms stop=2556256ms speaker_SPEAKER_02
start=2556256ms stop=2556307ms speaker_SPEAKER_07
